Text,Verdict
base design previous handsets nokia e72 nokia e63 symbian-based model promise offer direct access 90 per cent world corporate email mail exchange ibm lotus note traveler,neutral
upon completion deal panostaja establish new business area within group focus heat treatment metal,neutral
last year 83 million passengers fly airline 4 percent 2007,negative
konecranes oyj kcr1v fh fell 55 percent 2051 euros biggest fall since june,negative
value order eur 25 mn,neutral
operate loss total eur 03 mn profit eur 51 mn first half 2009,negative
2009 comptel slip net loss eur2 1 profit eur6 6 previous year,negative
proline plus available adjustable single multichannel model fix volume single-channel model volume range 01 micro litres 10 ml,neutral
order receive grow 55 % year-on-year eur732m,positive
earnings per share ( eps ) amount loss eur0 38,negative
size extension 185 % already let gross area 2830 sq 30460 sq ft,neutral
eps improve eur0 38 eur0 27,positive
steelmaker say drop profit explain continue economic uncertainty mix current drought bank lend result decline demand products customers find increasingly difficult fund operations,negative
`` uncertainties cloud long-term outlook ``,negative
upm stock fell 3 percent euro 1249 $ 1724 early afternoon trade helsinki,negative
mn pretax profit eur 464 mn eur 358 mn third quarter 2006,positive
finnish bank + land report operate profit eur 22 mn first quarter 2010 eur 63 mn correspond period 2009,negative
nokia 's share price fell less one percent 1870 euros ( $ 2541 ) helsinki siemens share fell 102 percent 9019 euros ( $ 12257 ) frankfurt,negative
helsinki ( afx ) - nokian tyres report fourth quarter pretax profit 615 mln eur 486 mln back strong sales,positive
business idea budget sport offer customers wide range high-quality sport equipment clothe low price company say,neutral
finnish scanfil contract manufacturer systems supplier communication industrial electronics report net sales eur 1087 mn first half 2008 eur 1111 mn year earlier,negative
loss period total eur 156 mn compare profit eur 63 mn 2008,negative
july-september 2009 konecranes ' sales decrease eur 3687 mn eur 5204 mn july-september 2008,negative
kazgiprotsvetmet outotec finland sign agreement strategic cooperation market provide minerals process metallurgical plant relate service kazakhstan surround countries,positive
`` purchase operations part yit 's strategy expand offer build system service geographically ``,positive
raisio 's bid buy glisten `` win-win `` deal company chairman uk snack firm tell just-food today 10 february,positive
jeder beta-tester erh+ lt kostenlos sechs monate lang update und hat laut eigener aussage die m+ glichkeit die finale version zu beeinflussen,neutral
result also burden increase fix cost associate operations china restructure cost japan,negative
asian traffic decline 34 per cent,negative
cerberus capital management lp-backed print paper maker newpage corp post mix second-quarter result cast cloud plan initial public offer,negative
announcement come two weeks key license agreement expire two company embroil disagreement royalty payments texas instrument chip use qualcomm-patented technology,negative
seppala 's revenue increase 02 % eur10 1 finland revenue go 24 % eur6 8 sales abroad rise 62 % eur3 3 sales increase baltic countries well russia ukraine,positive
combine value plan investments eur 30mn,neutral
check make bid deka showroom fortitude valley,neutral
recovery evident liquid handle business particularly areas outside europe primarily north america asia,positive
jeder beta-tester erh+ lt kostenlos sechs monate lang update und hat laut eigener aussage die m+ glichkeit die finale version zu beeinflussen,neutral
srv lower net sales estimate whole 2008 due uncertainties house sales,negative
teliasonera say $ 100 million invest next year region bring mobile coverage 90 % nepal population,positive
profit period total eur 08 mn eur 11 mn correspond period 2008,negative
last quarter best quarter 2009 net sales operate margin rise 122 %,positive
operate profit operations finland period review total eur 113 mn remain 2005 level,neutral
elcoteq group recently announce last three months previous year bring major loss half billion kroons ( eur 32 mln ) fifth quarter run,negative
electronic versions require 24-48 hours copy customize client digital control custom watermarks,neutral
`` overall 're please startup curve 're please quality paper `` stora spokeswoman patricia dietz say tuesday,positive
konecranes previously communicate estimate reduction 1600 employees group level 2009,negative
orion pharma 's operate profit increase 425 % 2004,positive
pharmaceuticals - belgium brand-new market analysis give clear overview actual situation future outlook pharmaceutical market belgium,neutral
omx helsinki index 034 pct 825602 turnover 813191 mln eur,negative
facility consist seven year bullet term loan 200 mln euro $ 2924 mln 150 mln euro $ 2193 mln five year revolve credit facility,neutral
dilute earnings per share ( eps ) stand eur 025 versus eur 042,negative
public service also available,neutral
finnish bank + land launch long-term pension savings account begin june 2010,neutral
hack extra nefarious tweet activate without click - enough web surfers move mouse cursors,negative
new kveyt light variety suomalainen pekoni market atria brand name available consumers finland,positive
export goods fell 59 % import 167 %,negative
cramo slip pretax loss eur 67 million pretax profit eur 589 million,negative
dutch broker note nokian tyres report good first quarter 2006 line consensus,positive
operate profit total eur 94 mn eur 117 mn 2004,negative
sales tiimari business go 8 % eur 118 million gallerix store saw 29 % growth eur 2 million,negative
fortum previously buy state-held stake tgk-10 rao ues reform,neutral
accord hkscan finland plan increase j+ rvi-suomen portti 's net sales eur 80mn eur 100mn,positive
finlan 's list food industry company hkscan group control company baltics improve revenues eur 35 mn eur 1604 mn 2010 eur 1569 mn year,positive
favourable currency rat also contribute higher net sales `` ceo kari kauniskangas say,positive
long-standing partnership commitment enable party develop respective operations esl ship also opportunity update fleet improve efficiency,positive
module products available trials 3q-07 volume deliveries 4q-07,neutral
koff 's market share volume market 234 % karhu 's 214 %,neutral
adpnews - sep 28 2009 - finnish silicon wafers maker okmetic oyj hel okm1v say reduce number clerical workers 22 worldwide result personnel negotiations complete today,negative
broker initiate palfinger ag konecranes oyj ` buy ' recommendations 51 42 eur price target respectively,positive
marubeni group focus create `` value chain `` upstream downstream encompass wide variety business field include oil & gas metal mineral resources foods pulp & paper chemicals among others,neutral
end 2006 number outlets rise 60-70,positive
repeat see 2008 operate profit y-y ( report helsinki newsroom ) keywords tecnomen-results,negative
swiss bank credit suisse international act investor locomotive manufacture plant astana administration say,neutral
divestment line company 's plan focus select growth segment streamline corporate structure company explain,positive
market data analytics derive primary secondary research,neutral
sales finland rise 39 % international growth 07 %,positive
significance teleste emphasise large size grow economy well rapid development tv service distribution industry poland view attractive market,positive
new novator products suppose export,neutral
confirm view july 6,neutral
rapala vmc corporation stock exchange release october 10 2008 1145 kaupthing bank oyj ( `` kapthing `` ) inform rapala vmc corporation ( `` rapala `` ) interrupt liquidity provide rapala 's share time,negative
sanoma news ' advertise sales decrease 22 % year,negative
disposal autotank also strengthen aspo 's capital structure `` comment gustav nyberg ceo aspo,positive
group 's 12-month operate profit grow 31 percent 3378 million euros,positive
company slip operate loss eur 26 million profit eur 13 million,negative
liquid handle segment offer laboratory equipment accessories include mechanical electronic pipettes disposable tip use research institutions universities hospitals well pharmaceutical food industries biohit brand,neutral
part transaction m-real sappi also sign long-term agreement supply pulp bctmp smaller service supply,positive
pretax loss total eur 117mn compare loss eur 65mn correspond period,negative
finnish supplier bss-oss vas telecom operators tecnotree receive expansion order worth total us $ 73 mn convergent charge next generation message solutions latin america company announce without specify operators place order,positive
authorization force period 18 months resolution general meet,neutral
growth net sales first half 2008 28 % compare first half 2007,positive
company enhance gprs capability exist 12 idea telecom service areas add 10 service areas network,positive
poyry plc additional information martin kuzaj president industry business group finland tel +358 10 33 21179 sanna paivaniemi director investor relations poyry plc finland tel +358 10 33 23002 poyry global consult engineer company dedicate balance sustainability,neutral
deal include rental equipment relate merchandise rental contract depot two employees company say,neutral
duration lay-offs per employee vary one six weeks,neutral
group ebit first half eur13 6 us $ 178 fall short eur22 5 post period 2009,negative
saunalahti part elisa group,neutral
grind barleycorn fully produce finland available store begin 2010,neutral
glad long co-operation sodra continue `` comment stig-goran sandberg affecto 's area manager baltic operations,positive
basware business transactions service enable customer receive send invoice electronic format,neutral
operate profit rise eur2 4 eur1 6 year earlier,positive
( adp news ) - feb 11 2009 - finnish management software solutions provider ixonos oyj ( hel xns1v ) say today net profit rise eur 35 million ( usd 45 ) 2008 eur 31 million 2007,positive
raute corporation receive order worth eur 12 million ooo ilim bratsk dok russia,positive
nokia 's share price fell less one percent 1870 euros ( $ 2541 ) helsinki siemens share fell 102 percent 9019 euros ( $ 12257 ) frankfurt,negative
f-secure report - first half 2008 see grow number target malware attack individuals company organizations,neutral
kershaw take position immediate effect previous role market manager sankey home & garden products,neutral
coca-cola market leader manufacturers market share 369 % 22 % correspond period 2004-2005,negative
scanfil expect net sales 2008 remain 2007 level,neutral
therefore company 's 2005 result remain weaker 2004,negative
sampo plc jarmo salonen head investor relations group communications tel +358 10 516 0030 distribution nasdaq omx helsinki principal media financial supervisory authority wwwsampocom announcement distribute thomson reuters behalf thomson reuters clients,neutral
operate profit exclude non-recurring items increase 27 % eur 819 mn eur 644 mn correspond period 2008,positive
contract also include installation work new multistorey carpark close 1000 vehicles,neutral
kemira share close ( x20ac ) 1666 ( $ 22us 71 ),neutral
net cash operate activities negative eur 03 mn compare eur 309 mn 2009,negative
`` ntc geographical presence complement ramirent 's exist network bring us closer customers east bohemia region czechrepublic ``,positive
operate result show loss eur 29 mn year show profit eur 06 mn,negative
loss financial items total eur 97 mn compare profit eur 13 mn correspond period 2008,negative
( adpnews ) - may 4 2010 - finnish cutlery hand tool maker fiskars oyj abp ( hel fisas ) say today net profit decline eur 129 million ( usd 17m ) first quarter 2010 eur 17 million correspond,negative
accord swedish authorities trace toxic osmium tetroxide find coast per+ meri northernmost part gulf bothnia,negative
( adp news ) - finnish handle systems provider cargotec oyj ( hel cgcbv ) announce friday order worth eur 10 million ( usd 132 ) deliver linkspans jordan morocco ireland,positive
cost cut measure produce around eur70m savings past nine months dampen airline 's loss finnair say,positive
teleste expect start deliveries end 2009,neutral
pretax profit decrease eur 338 mn eur 408 mn fourth quarter 2005,negative
full-year operate result 2008 36 million negative,negative
situation coat magazine print paper continue weak,negative
maggie ramsey 's wait - thousands oregon washington guide anglers others flock frequent seminars - nearly,neutral
expense ratio 1026 % compare 929 % correspond period 2005,negative
see new register subscribe newspaper,neutral
current year raute expect net sales increase operate result -- positive,positive
outokumpu 's chief executive juha rantanen express confidence china market,positive
( adp news ) - jan 22 2009 - finnish mobile phone maker nokia oyj ( omx nok1v ) say today operate profit decrease eur 5 billion ( usd 65 bn ) 2008 eur 8 billion 2007,negative
contract cover turnkey deliveries five airports operate authority -- john f kennedy laguardia newark teterboro stewart international,neutral
revenue quarter total 274 billion 2 percent 281 billion fourth quarter 2008,negative
company study feasibility focus process meat production vantaa facilities process fresh meat forssa facilities,neutral
lemminkainen group headquarter helsinki finland operate sectors construction industry civil engineer build contract technical build service build materials industry,neutral
also upset machinery work take poland,negative
operate loss total eur 127 mn compare profit eur 177 mn first half 2008,negative
` buy ' recommendation reiterate,positive
cash flow operations recent quarter also reach eight year low,negative
german company also sign code share agreement another oneworld member -- american airlines inc part us-based amr corp ( nyse amr ),positive
previously company guide ebit sales growth 20 pct 10 pct respectively year,positive
commission income decrease eur 38 mn compare eur 46 mn third quarter 2007,negative
share standard charter ( stan ) rise 12 % ftse 100 royal bank scotland ( rbs ) share rise 2 % barclays share ( barc ) ( bcs ) 17 %,positive
nokia - world 's largest mobile phone manufacturer - china postel - china 's largest mobile phone distributor - long-standing partnership continue grow stronger time,positive
report operate margin negative 59 %,negative
join rautakirja 1997 lead one four business areas take position president ceo 2001,neutral
net sales revenue per passenger expect increase,positive
passenger volumes rise 84 % account period,positive
`` every partner allow buy quantity electricity correspond share consortium production cost `` letter intent say,neutral
chief executive officer olli-pekka kallasvuo 's change tuesday mark third time nine months company reshuffle executives operations nokia lose grind apple 's iphone rim 's blackberry,negative
ceo company tarmo noop say growth sale premium beers biggest,positive
international sales rise 598 % eur 12444 mn,positive
group 's order portfolio decrease eur 429 mn 9-2007 eur 333 mn 2-2008,negative
pretax profit group 's life insurance business increase eur36m eur27m,positive
( adp news ) - feb 4 2009 - finnish broadband data communication systems solutions company teleste oyj ( hel tlt1v ) say today net profit decrease eur 55 million ( usd 72 ) 2008 eur 94 million 200,negative
omx nordic 40 omxn40 index comprise 40 trade nordic stock nasdaq omx exchange close 087 % 106414 point thursday,negative
operate loss total eur 32 mn compare profit eur 72 mn third quarter 2008,negative
acquisition support strategy close customers around world offer equipment relate service,positive
group 's operate loss eur 08 mn profit eur 25 mn 2004,negative
finnish financial group aktia report operate profit eur 444 mn january-september 2009 eur 373 mn correspond period 2008,positive
company operate us division lisle ill,neutral
revenue quarter fell 8 percent ( euro ) 24 billion compare year earlier,negative
finnish raisio ( diagnostics ) launch new dna-based quick test ensure safety food,positive
adp news - feb 25 2009 - finnish print circuit board pcb maker aspocomp group oyj hel acg1v say today swing net profit eur 300000 usd 385000 2008 versus net loss eur 653 million,positive
operate profit fell eur 203 mn eur 742 mn second quarter 2008,negative
lemminkainen group headquarter helsinki finland operate sectors construction industry civil engineer build contract technical build service build materials industry,neutral
comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers deliver service flexibly charge effectively,neutral
26 october 2010 - finnish environmental management company lassila & tikanoja oyj ( hel lat1v ) l & say today net profit decline eur20 9 first nine months 2010 eur27 6 period year earlier,negative
finnish software company qpr software plc ( omx helsinki qpr1v ) report thursday ( 23 october ) operate profit eur63 000 net sales eur1 5 third quarter 2008,neutral
profit tax eur 40 mn eur 49 mn,negative
stockholm 3 march 2011 cybercom cybercom group high-tech consultancy offer global source end-to-end solutions,neutral
`` soon collisions start ``,neutral
talvivaara secure 10-year off-take agreement 100 per cent main output nickel cobalt norilsk nickel enter long-term zinc stream agreement nyrstar nv,positive
via move company aim annual savings eur3m main part expect realize year,positive
net sales decrease eur 498 million eur 599 million,negative
mn pretax profit eur 464 mn eur 358 mn third quarter 2006,positive
oxyview pulse oximeter common device check patient blood-oxygen saturation level pulse rate,neutral
current reference grade instrument challenge operate due high price complexity routine use,negative
sanoma corporation want new better frequency helsinki metropolitan area,neutral
report accordance merge business operations start january 1 2011,neutral
plan set class business center two top storeys complex,neutral
device volume area decrease 21 % 27 mn units,negative
amend proposal simplify propose plan increase incentive key employees stay company,positive
margin call zanadvorov give chance make purchase credit deutsche bank usd 560 million,neutral
value kind order amount usually euro 2 3 million,neutral
operate profit total eur 38 mn eur 45 mn correspond period 2005,negative
separately yit corporation austrian firm e ag last week sign agreement sale e 's build system service business germany austria poland czech republic hungary romania eur 55 mln,positive
pretax loss total eur 12 mn profit eur 21 mn 2004,negative
furthermore sales new passenger cars light commercial vehicles country decline 54 % year-on-year last month,negative
sales finland rise 39 % international growth 07 %,positive
credit cover approximately 70 % ship 's price,neutral
ahlstrom headquarter helsinki finland global company involve development manufacture market high performance fibre-based materials,neutral
2009 stora enso 's net loss eur 8797 million compare eur 6734 million previous year,negative
result also burden increase fix cost associate operations china restructure cost japan,negative
recent trouble simply make neteller cheaper,negative
previously eb deliver custom solution lg electronics make commercially available mobile terminal vendors well wireless operators,positive
organization member russian auto sector union mpra become active since tikkurila acquire russian paint company kraski teks 2006,neutral
operate profit fell eur 79 mn second quarter 2005 eur 51 mn second quarter 2006,negative
operate profit margin 83 % compare 118 % year earlier,negative
prosecutor also demand outokumpu pay fine eur 800000,negative
first nine months 2010 company 's net profit rise eur41m eur30m correspond period 2009,positive
ev3 devices involve action,neutral
master mayawas jointly develop nokia siemens network ufa - fremantlemedia actively advertise maxis end may 2007,neutral
upm-kymmene wwwupm-kymmenecom produce magazine paper newsprint well fine specialty paper convert materials wood products,neutral
operate profit total eur 04 mn operate loss eur 08 mn year-on-year,positive
net cash flow operate activities negative eur 31 mn compare eur 233 mn correspond period 2009,negative
h+ kan dahlstr+ head mobility service teliasonera forecast mobile data volume teliasonera network sweden rise eight-fold 200000 tb 2014,positive
group ebit first half eur13 6 us $ 178 fall short eur22 5 post period 2009,negative
cost new ropax vessels 30 % lower present ones,positive
since association 's data cover sales figure 100 small local breweries sales import beer products actual market share members smaller give report,negative
basware invoice process basware contract match basware order match basware kpi report tool part basware 's enterprise purchase pay solution suite,neutral
point 2010 separate company name palmberg tekmanni lemcon forssan betoni suonenjoen betonituote among others disappear,neutral
net sales drop 6 % year-on-year eur 119 million,negative
body es vostok also own stake power sales company mosenergosbytbody ( rts mssb ) ( 509 % ) altaienergosbyt ( 100 % ) saratovenergo ( rts sare ) body ( 4836 % ) tambov power sales company ( rts tasb ) ( 4901 % ) ofbodywhich receive distribution balance,neutral
aspocomp intend set plant manufacture print circuit board investment rs310 crore,neutral
upm-kymmene generate four consecutive quarter positive free cash flow,positive
plant expect start production first half 2007,neutral
finnish media group talentum issue profit warn,negative
alma media 's operate profit amount eur 119 mn eur 150 mn year earlier,negative
basware corporation stock exchange release august 31 2010 1625 basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,positive
rimi supermarket key customer magistral center,neutral
belarus oao lidskoe pivo brewery base grodno region report 11 % decrease output 1045 million decaliters january-march 2010 representative administration company tell,negative
price delivery volumes broadband products decrease significantly 2005,negative
objective plan measure achieve significant savings next years,positive
finnish kemira 's net sales eur decrease eur 12596 mn january-june 2009 eur 14251 mn january-june 2008,negative
build home improvement trade sales decrease 225 % eur 2014 mn,negative
helsinki-based componenta buy turkish list company doktas october 2006 89 million euros make largest finnish investment turkey date,neutral
insurer anticipate share nordea 's net profit significant,positive
( adpnews ) - feb 3 2010 - finland-based steel maker rautaruukki oyj ( hel rtrks ) ruukki say today slip larger-than-expected pretax loss eur 46 million ( usd 645 ) fourth quarter 2009,negative
london marketwatch -- share price end lower london monday rebound bank stock fail offset broader weakness ftse 100,negative
ramirent make 18 million kroons eur 115 mln loss last year year company 73 million kroons black,negative
mill capacity produce 500000 tonnes pulp per year,neutral
department store division 's sales fell 86 % eur 1402 mn,negative
ramirent 's net sales second quarterended june 30 euro 1287 million us $ 163 million 33-percent increase compare euro 1246 million thesecond quarter last year,positive
rest comfortably look forward get back work ``,neutral
finnish insurance company fennia kesko group end loyal customer cooperation,negative
